,Movie Name,Year of Release,Run Time,Rating,Metascore,Genre,Votes,Gross,Description
117,Singin' in the Rain,-1952,103 min,8.3,99,"Comedy, Musical, Romance","250,799",$8.82M,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
118,To Kill a Mockingbird,-1962,129 min,8.3,88,"Crime, Drama","324,040",#113,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice."
119,Metropolis,-1927,153 min,8.3,98,"Drama, Sci-Fi","179,426",$1.24M,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
120,The Sting,-1973,129 min,8.3,83,"Comedy, Crime, Drama","271,065",$159.60M,Two grifters team up to pull off the ultimate con.
121,North by Northwest,-1959,136 min,8.3,98,"Action, Adventure, Mystery","336,584",$13.28M,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
122,Dangal,-2016,161 min,8.3,****,"Action, Biography, Drama","199,214",$12.39M,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
123,The Apartment,-1960,125 min,8.3,94,"Comedy, Drama, Romance","188,105",$18.60M,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
124,M,-1931,99 min,8.3,****,"Crime, Mystery, Thriller","162,804",$0.03M,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
125,A Separation,-2011,123 min,8.3,95,Drama,"250,925",$7.10M,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
126,Judgment at Nuremberg,-1961,179 min,8.3,60,"Drama, War","80,756",#136,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes."
127,Ikiru,-1952,143 min,8.3,92,Drama,"82,827",$0.06M,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
128,Kantara,-2022,148 min,8.3,****,"Action, Adventure, Drama","96,937",%^%^%^,"When greed paves the way for betrayal, scheming and murder, a young tribal reluctantly dons the traditions of his ancestors to seek justice."
129,Double Indemnity,-1944,107 min,8.3,95,"Crime, Drama, Film-Noir","161,834",$5.72M,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator."
130,Like Stars on Earth,-2007,165 min,8.3,****,"Drama, Family","199,540",$1.22M,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
131,K.G.F: Chapter 2,-2022,168 min,8.3,****,"Action, Crime, Drama","141,081",$6.60M,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy."
132,Bicycle Thieves,-1948,89 min,8.3,****,Drama,"168,838",$0.33M,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
133,Vikram,-2022,175 min,8.3,****,"Action, Crime, Thriller","64,835",%^%^%^,"A special investigator assigned a case of serial killings discovers the case is not what it seems to be, and leading down this path is only going to end in a war between everyone involved."
